game_id,season,week,posteam,defteam,drives,fg_range_drives,stalls,off_tds
2022_01_BAL_NYJ,2022,1,BAL,NYJ,13,7,4,3
2022_01_BAL_NYJ,2022,1,NYJ,BAL,12,8,7,1
2022_01_BUF_LA,2022,1,BUF,LA,10,8,4,4
2022_01_BUF_LA,2022,1,LA,BUF,10,8,7,1
2022_01_CLE_CAR,2022,1,CAR,CLE,12,9,6,3
2022_01_CLE_CAR,2022,1,CLE,CAR,11,7,5,2
2022_01_DEN_SEA,2022,1,DEN,SEA,8,6,5,1
2022_01_DEN_SEA,2022,1,SEA,DEN,8,5,3,2
2022_01_GB_MIN,2022,1,GB,MIN,11,7,6,1
2022_01_GB_MIN,2022,1,MIN,GB,10,6,4,2
2022_01_IND_HOU,2022,1,HOU,IND,14,9,7,2
2022_01_IND_HOU,2022,1,IND,HOU,13,11,9,2
2022_01_JAX_WAS,2022,1,JAX,WAS,11,11,9,2
2022_01_JAX_WAS,2022,1,WAS,JAX,12,8,4,4
2022_01_KC_ARI,2022,1,ARI,KC,11,9,6,3
2022_01_KC_ARI,2022,1,KC,ARI,10,7,1,6
2022_01_LV_LAC,2022,1,LAC,LV,11,10,7,3
2022_01_LV_LAC,2022,1,LV,LAC,11,6,4,2
2022_01_NE_MIA,2022,1,MIA,NE,9,7,6,1
2022_01_NE_MIA,2022,1,NE,MIA,9,6,5,1
2022_01_NO_ATL,2022,1,ATL,NO,13,11,9,2
2022_01_NO_ATL,2022,1,NO,ATL,12,10,7,3
2022_01_NYG_TEN,2022,1,NYG,TEN,12,9,6,3
2022_01_NYG_TEN,2022,1,TEN,NYG,11,7,5,2
2022_01_PHI_DET,2022,1,DET,PHI,11,8,3,5
2022_01_PHI_DET,2022,1,PHI,DET,11,9,5,4
2022_01_PIT_CIN,2022,1,CIN,PIT,15,10,8,2
2022_01_PIT_CIN,2022,1,PIT,CIN,16,11,10,1
2022_01_SF_CHI,2022,1,CHI,SF,11,7,4,3
2022_01_SF_CHI,2022,1,SF,CHI,11,7,6,1
2022_01_TB_DAL,2022,1,DAL,TB,11,7,7,0
2022_01_TB_DAL,2022,1,TB,DAL,11,7,6,1
2022_02_ARI_LV,2022,2,ARI,LV,9,9,6,3
2022_02_ARI_LV,2022,2,LV,ARI,9,5,3,2
2022_02_ATL_LA,2022,2,ATL,LA,11,10,8,2
2022_02_ATL_LA,2022,2,LA,ATL,11,8,4,4
2022_02_CAR_NYG,2022,2,CAR,NYG,11,8,7,1
2022_02_CAR_NYG,2022,2,NYG,CAR,12,8,7,1
2022_02_CHI_GB,2022,2,CHI,GB,9,8,7,1
2022_02_CHI_GB,2022,2,GB,CHI,9,8,5,3
2022_02_CIN_DAL,2022,2,CIN,DAL,10,6,5,1
2022_02_CIN_DAL,2022,2,DAL,CIN,10,6,4,2
2022_02_HOU_DEN,2022,2,DEN,HOU,11,9,8,1
2022_02_HOU_DEN,2022,2,HOU,DEN,11,7,7,0
2022_02_IND_JAX,2022,2,IND,JAX,11,6,6,0
2022_02_IND_JAX,2022,2,JAX,IND,11,6,3,3
2022_02_LAC_KC,2022,2,KC,LAC,12,8,6,2
2022_02_LAC_KC,2022,2,LAC,KC,12,8,5,3
2022_02_MIA_BAL,2022,2,BAL,MIA,11,11,6,5
2022_02_MIA_BAL,2022,2,MIA,BAL,11,10,4,6
2022_02_MIN_PHI,2022,2,MIN,PHI,10,6,5,1
2022_02_MIN_PHI,2022,2,PHI,MIN,10,6,3,3
2022_02_NE_PIT,2022,2,NE,PIT,10,8,6,2
2022_02_NE_PIT,2022,2,PIT,NE,9,6,5,1
2022_02_NYJ_CLE,2022,2,CLE,NYJ,11,9,4,5
2022_02_NYJ_CLE,2022,2,NYJ,CLE,11,9,5,4
2022_02_SEA_SF,2022,2,SEA,SF,10,8,8,0
2022_02_SEA_SF,2022,2,SF,SEA,10,7,4,3
2022_02_TB_NO,2022,2,NO,TB,13,5,4,1
2022_02_TB_NO,2022,2,TB,NO,14,9,8,1
2022_02_TEN_BUF,2022,2,BUF,TEN,12,9,5,4
2022_02_TEN_BUF,2022,2,TEN,BUF,11,9,8,1
2022_02_WAS_DET,2022,2,DET,WAS,14,11,7,4
2022_02_WAS_DET,2022,2,WAS,DET,14,8,4,4
2022_03_ATL_SEA,2022,3,ATL,SEA,9,8,5,3
2022_03_ATL_SEA,2022,3,SEA,ATL,8,8,6,2
2022_03_BAL_NE,2022,3,BAL,NE,12,8,3,5
2022_03_BAL_NE,2022,3,NE,BAL,12,10,7,3
2022_03_BUF_MIA,2022,3,BUF,MIA,9,8,6,2
2022_03_BUF_MIA,2022,3,MIA,BUF,8,6,3,3
2022_03_CIN_NYJ,2022,3,CIN,NYJ,12,9,6,3
2022_03_CIN_NYJ,2022,3,NYJ,CIN,12,11,11,0
2022_03_DAL_NYG,2022,3,DAL,NYG,11,9,7,2
2022_03_DAL_NYG,2022,3,NYG,DAL,10,8,7,1
2022_03_DET_MIN,2022,3,DET,MIN,12,9,6,3
2022_03_DET_MIN,2022,3,MIN,DET,13,8,4,4
2022_03_GB_TB,2022,3,GB,TB,12,6,4,2
2022_03_GB_TB,2022,3,TB,GB,12,5,4,1
2022_03_HOU_CHI,2022,3,CHI,HOU,12,7,5,2
2022_03_HOU_CHI,2022,3,HOU,CHI,11,8,6,2
2022_03_JAX_LAC,2022,3,JAX,LAC,11,8,4,4
2022_03_JAX_LAC,2022,3,LAC,JAX,10,8,7,1
2022_03_KC_IND,2022,3,IND,KC,11,7,5,2
2022_03_KC_IND,2022,3,KC,IND,10,8,6,2
2022_03_LA_ARI,2022,3,ARI,LA,9,9,9,0
2022_03_LA_ARI,2022,3,LA,ARI,10,9,7,2
2022_03_LV_TEN,2022,3,LV,TEN,9,8,6,2
2022_03_LV_TEN,2022,3,TEN,LV,10,7,4,3
2022_03_NO_CAR,2022,3,CAR,NO,14,7,6,1
2022_03_NO_CAR,2022,3,NO,CAR,13,9,7,2
2022_03_PHI_WAS,2022,3,PHI,WAS,13,7,4,3
2022_03_PHI_WAS,2022,3,WAS,PHI,12,7,6,1
2022_03_PIT_CLE,2022,3,CLE,PIT,11,7,4,3
2022_03_PIT_CLE,2022,3,PIT,CLE,11,7,5,2
2022_03_SF_DEN,2022,3,DEN,SF,14,7,6,1
2022_03_SF_DEN,2022,3,SF,DEN,14,5,4,1
2022_04_ARI_CAR,2022,4,ARI,CAR,12,9,6,3
2022_04_ARI_CAR,2022,4,CAR,ARI,12,8,7,1
2022_04_BUF_BAL,2022,4,BAL,BUF,11,9,7,2
2022_04_BUF_BAL,2022,4,BUF,BAL,10,9,7,2
2022_04_CHI_NYG,2022,4,CHI,NYG,12,8,8,0
2022_04_CHI_NYG,2022,4,NYG,CHI,12,9,7,2
2022_04_CLE_ATL,2022,4,ATL,CLE,11,8,6,2
2022_04_CLE_ATL,2022,4,CLE,ATL,10,8,6,2
2022_04_DEN_LV,2022,4,DEN,LV,11,8,5,3
2022_04_DEN_LV,2022,4,LV,DEN,12,9,7,2
2022_04_JAX_PHI,2022,4,JAX,PHI,12,10,8,2
2022_04_JAX_PHI,2022,4,PHI,JAX,12,10,6,4
2022_04_KC_TB,2022,4,KC,TB,11,10,5,5
2022_04_KC_TB,2022,4,TB,KC,11,9,4,5
2022_04_LAC_HOU,2022,4,HOU,LAC,12,10,7,3
2022_04_LAC_HOU,2022,4,LAC,HOU,12,10,6,4
2022_04_LA_SF,2022,4,LA,SF,10,7,7,0
2022_04_LA_SF,2022,4,SF,LA,10,6,4,2
2022_04_MIA_CIN,2022,4,CIN,MIA,12,9,6,3
2022_04_MIA_CIN,2022,4,MIA,CIN,11,9,8,1
2022_04_MIN_NO,2022,4,MIN,NO,11,8,6,2
2022_04_MIN_NO,2022,4,NO,MIN,10,8,5,3
2022_04_NE_GB,2022,4,GB,NE,14,8,5,3
2022_04_NE_GB,2022,4,NE,GB,12,8,6,2
2022_04_NYJ_PIT,2022,4,NYJ,PIT,11,8,5,3
2022_04_NYJ_PIT,2022,4,PIT,NYJ,12,7,5,2
2022_04_SEA_DET,2022,4,DET,SEA,11,11,5,6
2022_04_SEA_DET,2022,4,SEA,DET,10,10,5,5
2022_04_TEN_IND,2022,4,IND,TEN,9,9,7,2
2022_04_TEN_IND,2022,4,TEN,IND,10,7,4,3
2022_04_WAS_DAL,2022,4,DAL,WAS,13,6,4,2
2022_04_WAS_DAL,2022,4,WAS,DAL,13,9,8,1
