game_id,season,week,posteam,defteam,fixed_drive,raw_result,outcome,received_opening_kick
2022_01_BAL_NYJ,2022,1,BAL,NYJ,2.0,Punt,PUNT,0
2022_01_BAL_NYJ,2022,1,NYJ,BAL,1.0,Punt,PUNT,1
2022_01_BUF_LA,2022,1,BUF,LA,1.0,Touchdown,TD,1
2022_01_BUF_LA,2022,1,LA,BUF,2.0,Punt,PUNT,0
2022_01_CLE_CAR,2022,1,CAR,CLE,1.0,Punt,PUNT,1
2022_01_CLE_CAR,2022,1,CLE,CAR,2.0,Turnover on downs,OTHER,0
2022_01_DEN_SEA,2022,1,DEN,SEA,2.0,Field goal,FG,0
2022_01_DEN_SEA,2022,1,SEA,DEN,1.0,Touchdown,TD,1
2022_01_GB_MIN,2022,1,GB,MIN,2.0,Punt,PUNT,0
2022_01_GB_MIN,2022,1,MIN,GB,1.0,Touchdown,TD,1
2022_01_IND_HOU,2022,1,HOU,IND,2.0,Punt,PUNT,0
2022_01_IND_HOU,2022,1,IND,HOU,1.0,Punt,PUNT,1
2022_01_JAX_WAS,2022,1,JAX,WAS,1.0,Field goal,FG,1
2022_01_JAX_WAS,2022,1,WAS,JAX,2.0,Touchdown,TD,0
2022_01_KC_ARI,2022,1,ARI,KC,2.0,Punt,PUNT,0
2022_01_KC_ARI,2022,1,KC,ARI,1.0,Touchdown,TD,1
2022_01_LV_LAC,2022,1,LAC,LV,1.0,Field goal,FG,1
2022_01_LV_LAC,2022,1,LV,LAC,2.0,Field goal,FG,0
2022_01_NE_MIA,2022,1,MIA,NE,2.0,Field goal,FG,0
2022_01_NE_MIA,2022,1,NE,MIA,1.0,Turnover,OTHER,1
2022_01_NO_ATL,2022,1,ATL,NO,1.0,Field goal,FG,1
2022_01_NO_ATL,2022,1,NO,ATL,2.0,Punt,PUNT,0
2022_01_NYG_TEN,2022,1,NYG,TEN,1.0,Punt,PUNT,1
2022_01_NYG_TEN,2022,1,TEN,NYG,2.0,Touchdown,TD,0
2022_01_PHI_DET,2022,1,DET,PHI,1.0,Touchdown,TD,1
2022_01_PHI_DET,2022,1,PHI,DET,2.0,Turnover on downs,OTHER,0
2022_01_PIT_CIN,2022,1,CIN,PIT,2.0,Opp touchdown,OTHER,0
2022_01_PIT_CIN,2022,1,PIT,CIN,1.0,Punt,PUNT,1
2022_01_SF_CHI,2022,1,CHI,SF,1.0,Punt,PUNT,1
2022_01_SF_CHI,2022,1,SF,CHI,2.0,Turnover,OTHER,0
2022_01_TB_DAL,2022,1,DAL,TB,1.0,Field goal,FG,1
2022_01_TB_DAL,2022,1,TB,DAL,2.0,Field goal,FG,0
2022_02_ARI_LV,2022,2,ARI,LV,2.0,Punt,PUNT,0
2022_02_ARI_LV,2022,2,LV,ARI,1.0,Touchdown,TD,1
2022_02_ATL_LA,2022,2,ATL,LA,1.0,Missed field goal,OTHER,1
2022_02_ATL_LA,2022,2,LA,ATL,2.0,Touchdown,TD,0
2022_02_CAR_NYG,2022,2,CAR,NYG,2.0,Field goal,FG,0
2022_02_CAR_NYG,2022,2,NYG,CAR,2.0,Field goal,FG,0
2022_02_CHI_GB,2022,2,CHI,GB,2.0,Touchdown,TD,0
2022_02_CHI_GB,2022,2,GB,CHI,1.0,Field goal,FG,1
2022_02_CIN_DAL,2022,2,CIN,DAL,2.0,Field goal,FG,0
2022_02_CIN_DAL,2022,2,DAL,CIN,1.0,Touchdown,TD,1
2022_02_HOU_DEN,2022,2,DEN,HOU,2.0,Punt,PUNT,0
2022_02_HOU_DEN,2022,2,HOU,DEN,1.0,Punt,PUNT,1
2022_02_IND_JAX,2022,2,IND,JAX,1.0,Turnover,OTHER,1
2022_02_IND_JAX,2022,2,JAX,IND,2.0,Touchdown,TD,0
2022_02_LAC_KC,2022,2,KC,LAC,1.0,Punt,PUNT,1
2022_02_LAC_KC,2022,2,LAC,KC,2.0,Field goal,FG,0
2022_02_MIA_BAL,2022,2,BAL,MIA,1.0,Touchdown,TD,1
2022_02_MIA_BAL,2022,2,MIA,BAL,2.0,Turnover,OTHER,0
2022_02_MIN_PHI,2022,2,MIN,PHI,2.0,Punt,PUNT,0
2022_02_MIN_PHI,2022,2,PHI,MIN,1.0,Touchdown,TD,1
2022_02_NE_PIT,2022,2,NE,PIT,2.0,Field goal,FG,0
2022_02_NE_PIT,2022,2,PIT,NE,1.0,Punt,PUNT,1
2022_02_NYJ_CLE,2022,2,CLE,NYJ,2.0,Touchdown,TD,0
2022_02_NYJ_CLE,2022,2,NYJ,CLE,1.0,Punt,PUNT,1
2022_02_SEA_SF,2022,2,SEA,SF,2.0,Punt,PUNT,0
2022_02_SEA_SF,2022,2,SF,SEA,1.0,Field goal,FG,1
2022_02_TB_NO,2022,2,NO,TB,1.0,Field goal,FG,1
2022_02_TB_NO,2022,2,TB,NO,2.0,Turnover,OTHER,0
2022_02_TEN_BUF,2022,2,BUF,TEN,1.0,Touchdown,TD,1
2022_02_TEN_BUF,2022,2,TEN,BUF,2.0,Touchdown,TD,0
2022_02_WAS_DET,2022,2,DET,WAS,1.0,Punt,PUNT,1
2022_02_WAS_DET,2022,2,WAS,DET,2.0,Punt,PUNT,0
2022_03_ATL_SEA,2022,3,ATL,SEA,2.0,Touchdown,TD,0
2022_03_ATL_SEA,2022,3,SEA,ATL,1.0,Field goal,FG,1
2022_03_BAL_NE,2022,3,BAL,NE,1.0,Punt,PUNT,1
2022_03_BAL_NE,2022,3,NE,BAL,2.0,Punt,PUNT,0
2022_03_BUF_MIA,2022,3,BUF,MIA,1.0,Touchdown,TD,1
2022_03_BUF_MIA,2022,3,MIA,BUF,2.0,Punt,PUNT,0
2022_03_CIN_NYJ,2022,3,CIN,NYJ,1.0,Touchdown,TD,1
2022_03_CIN_NYJ,2022,3,NYJ,CIN,2.0,Field goal,FG,0
2022_03_DAL_NYG,2022,3,DAL,NYG,1.0,Punt,PUNT,1
2022_03_DAL_NYG,2022,3,NYG,DAL,2.0,Missed field goal,OTHER,0
2022_03_DET_MIN,2022,3,DET,MIN,1.0,Missed field goal,OTHER,1
2022_03_DET_MIN,2022,3,MIN,DET,2.0,Missed field goal,OTHER,0
2022_03_GB_TB,2022,3,GB,TB,2.0,Touchdown,TD,0
2022_03_GB_TB,2022,3,TB,GB,1.0,Field goal,FG,1
2022_03_HOU_CHI,2022,3,CHI,HOU,1.0,Field goal,FG,1
2022_03_HOU_CHI,2022,3,HOU,CHI,2.0,Punt,PUNT,0
2022_03_JAX_LAC,2022,3,JAX,LAC,1.0,Turnover on downs,OTHER,1
2022_03_JAX_LAC,2022,3,LAC,JAX,2.0,Punt,PUNT,0
2022_03_KC_IND,2022,3,IND,KC,1.0,Punt,PUNT,1
2022_03_KC_IND,2022,3,KC,IND,3.0,Punt,PUNT,0
2022_03_LA_ARI,2022,3,ARI,LA,1.0,Punt,PUNT,1
2022_03_LA_ARI,2022,3,LA,ARI,2.0,Field goal,FG,0
2022_03_LV_TEN,2022,3,LV,TEN,2.0,Field goal,FG,0
2022_03_LV_TEN,2022,3,TEN,LV,1.0,Touchdown,TD,1
2022_03_NO_CAR,2022,3,CAR,NO,1.0,Punt,PUNT,1
2022_03_NO_CAR,2022,3,NO,CAR,2.0,Punt,PUNT,0
2022_03_PHI_WAS,2022,3,PHI,WAS,2.0,Punt,PUNT,0
2022_03_PHI_WAS,2022,3,WAS,PHI,1.0,Punt,PUNT,1
2022_03_PIT_CLE,2022,3,CLE,PIT,1.0,Punt,PUNT,1
2022_03_PIT_CLE,2022,3,PIT,CLE,2.0,Punt,PUNT,0
2022_03_SF_DEN,2022,3,DEN,SF,2.0,Punt,PUNT,0
2022_03_SF_DEN,2022,3,SF,DEN,1.0,Punt,PUNT,1
2022_04_ARI_CAR,2022,4,ARI,CAR,1.0,Punt,PUNT,1
2022_04_ARI_CAR,2022,4,CAR,ARI,2.0,Turnover on downs,OTHER,0
2022_04_BUF_BAL,2022,4,BAL,BUF,2.0,Touchdown,TD,0
2022_04_BUF_BAL,2022,4,BUF,BAL,1.0,Turnover,OTHER,1
2022_04_CHI_NYG,2022,4,CHI,NYG,2.0,Field goal,FG,0
2022_04_CHI_NYG,2022,4,NYG,CHI,1.0,Punt,PUNT,1
2022_04_CLE_ATL,2022,4,ATL,CLE,2.0,Field goal,FG,0
2022_04_CLE_ATL,2022,4,CLE,ATL,1.0,Turnover on downs,OTHER,1
2022_04_DEN_LV,2022,4,DEN,LV,2.0,Punt,PUNT,0
2022_04_DEN_LV,2022,4,LV,DEN,1.0,Field goal,FG,1
2022_04_JAX_PHI,2022,4,JAX,PHI,1.0,Punt,PUNT,1
2022_04_JAX_PHI,2022,4,PHI,JAX,2.0,Opp touchdown,OTHER,0
2022_04_KC_TB,2022,4,KC,TB,2.0,Touchdown,TD,0
2022_04_KC_TB,2022,4,TB,KC,2.0,Touchdown,TD,0
2022_04_LAC_HOU,2022,4,HOU,LAC,1.0,Turnover,OTHER,1
2022_04_LAC_HOU,2022,4,LAC,HOU,2.0,Touchdown,TD,0
2022_04_LA_SF,2022,4,LA,SF,1.0,Field goal,FG,1
2022_04_LA_SF,2022,4,SF,LA,2.0,Touchdown,TD,0
2022_04_MIA_CIN,2022,4,CIN,MIA,1.0,Touchdown,TD,1
2022_04_MIA_CIN,2022,4,MIA,CIN,2.0,Field goal,FG,0
2022_04_MIN_NO,2022,4,MIN,NO,1.0,Touchdown,TD,1
2022_04_MIN_NO,2022,4,NO,MIN,2.0,Punt,PUNT,0
2022_04_NE_GB,2022,4,GB,NE,2.0,Turnover,OTHER,0
2022_04_NE_GB,2022,4,NE,GB,1.0,Field goal,FG,1
2022_04_NYJ_PIT,2022,4,NYJ,PIT,2.0,Punt,PUNT,0
2022_04_NYJ_PIT,2022,4,PIT,NYJ,1.0,Punt,PUNT,1
2022_04_SEA_DET,2022,4,DET,SEA,2.0,Punt,PUNT,0
2022_04_SEA_DET,2022,4,SEA,DET,1.0,Touchdown,TD,1
2022_04_TEN_IND,2022,4,IND,TEN,1.0,Turnover,OTHER,1
2022_04_TEN_IND,2022,4,TEN,IND,2.0,Touchdown,TD,0
2022_04_WAS_DAL,2022,4,DAL,WAS,1.0,Field goal,FG,1
2022_04_WAS_DAL,2022,4,WAS,DAL,2.0,Punt,PUNT,0
2022_05_ATL_TB,2022,5,ATL,TB,2.0,Punt,PUNT,0
2022_05_ATL_TB,2022,5,TB,ATL,1.0,Punt,PUNT,1
2022_05_CHI_MIN,2022,5,CHI,MIN,2.0,Field goal,FG,0
2022_05_CHI_MIN,2022,5,MIN,CHI,1.0,Touchdown,TD,1
2022_05_CIN_BAL,2022,5,BAL,CIN,2.0,Field goal,FG,0
2022_05_CIN_BAL,2022,5,CIN,BAL,1.0,Punt,PUNT,1
2022_05_DAL_LA,2022,5,DAL,LA,1.0,Opp touchdown,OTHER,1
2022_05_DAL_LA,2022,5,LA,DAL,1.0,Opp touchdown,OTHER,1
2022_05_DET_NE,2022,5,DET,NE,1.0,Turnover on downs,OTHER,1
2022_05_DET_NE,2022,5,NE,DET,2.0,Field goal,FG,0
2022_05_HOU_JAX,2022,5,HOU,JAX,1.0,Punt,PUNT,1
2022_05_HOU_JAX,2022,5,JAX,HOU,2.0,Punt,PUNT,0
2022_05_IND_DEN,2022,5,DEN,IND,2.0,Field goal,FG,0
2022_05_IND_DEN,2022,5,IND,DEN,1.0,Punt,PUNT,1
2022_05_LAC_CLE,2022,5,CLE,LAC,1.0,Touchdown,TD,1
2022_05_LAC_CLE,2022,5,LAC,CLE,2.0,Turnover on downs,OTHER,0
2022_05_LV_KC,2022,5,KC,LV,2.0,Punt,PUNT,0
2022_05_LV_KC,2022,5,LV,KC,1.0,Punt,PUNT,1
2022_05_MIA_NYJ,2022,5,MIA,NYJ,2.0,Safety,OTHER,0
2022_05_MIA_NYJ,2022,5,NYJ,MIA,1.0,Punt,PUNT,1
2022_05_NYG_GB,2022,5,GB,NYG,1.0,Field goal,FG,1
2022_05_NYG_GB,2022,5,NYG,GB,2.0,Punt,PUNT,0
2022_05_PHI_ARI,2022,5,ARI,PHI,1.0,Punt,PUNT,1
2022_05_PHI_ARI,2022,5,PHI,ARI,2.0,Touchdown,TD,0
2022_05_PIT_BUF,2022,5,BUF,PIT,1.0,Touchdown,TD,1
2022_05_PIT_BUF,2022,5,PIT,BUF,2.0,Missed field goal,OTHER,0
2022_05_SEA_NO,2022,5,NO,SEA,1.0,Field goal,FG,1
2022_05_SEA_NO,2022,5,SEA,NO,2.0,Touchdown,TD,0
2022_05_SF_CAR,2022,5,CAR,SF,2.0,Punt,PUNT,0
2022_05_SF_CAR,2022,5,SF,CAR,1.0,Touchdown,TD,1
2022_05_TEN_WAS,2022,5,TEN,WAS,1.0,Punt,PUNT,1
2022_05_TEN_WAS,2022,5,WAS,TEN,2.0,Punt,PUNT,0
2022_06_ARI_SEA,2022,6,ARI,SEA,1.0,Field goal,FG,1
2022_06_ARI_SEA,2022,6,SEA,ARI,2.0,Field goal,FG,0
2022_06_BAL_NYG,2022,6,BAL,NYG,1.0,Punt,PUNT,1
2022_06_BAL_NYG,2022,6,NYG,BAL,2.0,Punt,PUNT,0
2022_06_BUF_KC,2022,6,BUF,KC,1.0,Turnover,OTHER,1
2022_06_BUF_KC,2022,6,KC,BUF,2.0,Turnover,OTHER,0
2022_06_CAR_LA,2022,6,CAR,LA,1.0,Field goal,FG,1
2022_06_CAR_LA,2022,6,LA,CAR,2.0,Punt,PUNT,0
2022_06_CIN_NO,2022,6,CIN,NO,1.0,Punt,PUNT,1
2022_06_CIN_NO,2022,6,NO,CIN,2.0,Punt,PUNT,0
2022_06_DAL_PHI,2022,6,DAL,PHI,1.0,Punt,PUNT,1
2022_06_DAL_PHI,2022,6,PHI,DAL,2.0,Punt,PUNT,0
2022_06_DEN_LAC,2022,6,DEN,LAC,2.0,Field goal,FG,0
2022_06_DEN_LAC,2022,6,LAC,DEN,1.0,Punt,PUNT,1
2022_06_JAX_IND,2022,6,IND,JAX,1.0,Punt,PUNT,1
2022_06_JAX_IND,2022,6,JAX,IND,2.0,Punt,PUNT,0
2022_06_MIN_MIA,2022,6,MIA,MIN,2.0,Punt,PUNT,0
2022_06_MIN_MIA,2022,6,MIN,MIA,1.0,Punt,PUNT,1
2022_06_NE_CLE,2022,6,CLE,NE,1.0,Turnover,OTHER,1
2022_06_NE_CLE,2022,6,NE,CLE,2.0,Field goal,FG,0
2022_06_NYJ_GB,2022,6,GB,NYJ,1.0,Punt,PUNT,1
2022_06_NYJ_GB,2022,6,NYJ,GB,2.0,Punt,PUNT,0
2022_06_SF_ATL,2022,6,ATL,SF,1.0,Touchdown,TD,1
2022_06_SF_ATL,2022,6,SF,ATL,2.0,Punt,PUNT,0
2022_06_TB_PIT,2022,6,PIT,TB,2.0,Touchdown,TD,0
2022_06_TB_PIT,2022,6,TB,PIT,1.0,Punt,PUNT,1
2022_06_WAS_CHI,2022,6,CHI,WAS,1.0,Punt,PUNT,1
2022_06_WAS_CHI,2022,6,WAS,CHI,2.0,Punt,PUNT,0
2022_07_ATL_CIN,2022,7,ATL,CIN,2.0,Punt,PUNT,0
2022_07_ATL_CIN,2022,7,CIN,ATL,1.0,Touchdown,TD,1
2022_07_CHI_NE,2022,7,CHI,NE,2.0,Field goal,FG,0
2022_07_CHI_NE,2022,7,NE,CHI,1.0,Punt,PUNT,1
2022_07_CLE_BAL,2022,7,BAL,CLE,2.0,Field goal,FG,0
2022_07_CLE_BAL,2022,7,CLE,BAL,1.0,Touchdown,TD,1
2022_07_DET_DAL,2022,7,DAL,DET,1.0,Punt,PUNT,1
2022_07_DET_DAL,2022,7,DET,DAL,2.0,Punt,PUNT,0
2022_07_GB_WAS,2022,7,GB,WAS,1.0,Punt,PUNT,1
2022_07_GB_WAS,2022,7,WAS,GB,2.0,Punt,PUNT,0
2022_07_HOU_LV,2022,7,HOU,LV,2.0,Missed field goal,OTHER,0
2022_07_HOU_LV,2022,7,LV,HOU,1.0,Field goal,FG,1
2022_07_IND_TEN,2022,7,IND,TEN,2.0,Punt,PUNT,0
2022_07_IND_TEN,2022,7,TEN,IND,1.0,Punt,PUNT,1
2022_07_KC_SF,2022,7,KC,SF,2.0,Turnover,OTHER,0
2022_07_KC_SF,2022,7,SF,KC,1.0,Field goal,FG,1
2022_07_NO_ARI,2022,7,ARI,NO,2.0,Field goal,FG,0
2022_07_NO_ARI,2022,7,NO,ARI,1.0,Touchdown,TD,1
2022_07_NYG_JAX,2022,7,JAX,NYG,2.0,Touchdown,TD,0
2022_07_NYG_JAX,2022,7,NYG,JAX,1.0,Touchdown,TD,1
2022_07_NYJ_DEN,2022,7,DEN,NYJ,2.0,Punt,PUNT,0
2022_07_NYJ_DEN,2022,7,NYJ,DEN,1.0,Punt,PUNT,1
2022_07_PIT_MIA,2022,7,MIA,PIT,1.0,Touchdown,TD,1
2022_07_PIT_MIA,2022,7,PIT,MIA,2.0,Punt,PUNT,0
2022_07_SEA_LAC,2022,7,LAC,SEA,2.0,Turnover on downs,OTHER,0
2022_07_SEA_LAC,2022,7,SEA,LAC,1.0,Turnover,OTHER,1
2022_07_TB_CAR,2022,7,CAR,TB,2.0,Punt,PUNT,0
2022_07_TB_CAR,2022,7,TB,CAR,1.0,Punt,PUNT,1
2022_08_ARI_MIN,2022,8,ARI,MIN,2.0,Field goal,FG,0
2022_08_ARI_MIN,2022,8,MIN,ARI,1.0,Touchdown,TD,1
2022_08_BAL_TB,2022,8,BAL,TB,1.0,Punt,PUNT,1
2022_08_BAL_TB,2022,8,TB,BAL,3.0,Touchdown,TD,0
2022_08_CAR_ATL,2022,8,ATL,CAR,1.0,Turnover,OTHER,1
2022_08_CAR_ATL,2022,8,CAR,ATL,2.0,Punt,PUNT,0
2022_08_CHI_DAL,2022,8,CHI,DAL,2.0,Punt,PUNT,0
2022_08_CHI_DAL,2022,8,DAL,CHI,1.0,Touchdown,TD,1
2022_08_CIN_CLE,2022,8,CIN,CLE,1.0,Turnover,OTHER,1
2022_08_CIN_CLE,2022,8,CLE,CIN,2.0,Missed field goal,OTHER,0
2022_08_DEN_JAX,2022,8,DEN,JAX,1.0,Punt,PUNT,1
2022_08_DEN_JAX,2022,8,JAX,DEN,2.0,Punt,PUNT,0
2022_08_GB_BUF,2022,8,BUF,GB,1.0,Punt,PUNT,1
2022_08_GB_BUF,2022,8,GB,BUF,2.0,Turnover on downs,OTHER,0
2022_08_LV_NO,2022,8,LV,NO,1.0,Punt,PUNT,1
2022_08_LV_NO,2022,8,NO,LV,2.0,Punt,PUNT,0
2022_08_MIA_DET,2022,8,DET,MIA,1.0,Touchdown,TD,1
2022_08_MIA_DET,2022,8,MIA,DET,2.0,Turnover,OTHER,0
2022_08_NE_NYJ,2022,8,NE,NYJ,2.0,Punt,PUNT,0
2022_08_NE_NYJ,2022,8,NYJ,NE,1.0,Punt,PUNT,1
2022_08_NYG_SEA,2022,8,NYG,SEA,2.0,Punt,PUNT,0
2022_08_NYG_SEA,2022,8,SEA,NYG,1.0,Punt,PUNT,1
2022_08_PIT_PHI,2022,8,PHI,PIT,2.0,Touchdown,TD,0
2022_08_PIT_PHI,2022,8,PIT,PHI,1.0,Punt,PUNT,1
2022_08_SF_LA,2022,8,LA,SF,1.0,Punt,PUNT,1
2022_08_SF_LA,2022,8,SF,LA,2.0,Punt,PUNT,0
2022_08_TEN_HOU,2022,8,HOU,TEN,2.0,Turnover,OTHER,0
2022_08_TEN_HOU,2022,8,TEN,HOU,1.0,Missed field goal,OTHER,1
2022_08_WAS_IND,2022,8,IND,WAS,1.0,Punt,PUNT,1
2022_08_WAS_IND,2022,8,WAS,IND,2.0,Punt,PUNT,0
2022_09_BAL_NO,2022,9,BAL,NO,2.0,Punt,PUNT,0
2022_09_BAL_NO,2022,9,NO,BAL,1.0,Punt,PUNT,1
2022_09_BUF_NYJ,2022,9,BUF,NYJ,1.0,Turnover,OTHER,1
2022_09_BUF_NYJ,2022,9,NYJ,BUF,2.0,Punt,PUNT,0
2022_09_CAR_CIN,2022,9,CAR,CIN,2.0,Punt,PUNT,0
2022_09_CAR_CIN,2022,9,CIN,CAR,1.0,Touchdown,TD,1
2022_09_GB_DET,2022,9,DET,GB,1.0,Turnover on downs,OTHER,1
2022_09_GB_DET,2022,9,GB,DET,2.0,Turnover,OTHER,0
2022_09_IND_NE,2022,9,IND,NE,2.0,Punt,PUNT,0
2022_09_IND_NE,2022,9,NE,IND,1.0,Punt,PUNT,1
2022_09_LAC_ATL,2022,9,ATL,LAC,1.0,Touchdown,TD,1
2022_09_LAC_ATL,2022,9,LAC,ATL,2.0,Punt,PUNT,0
2022_09_LA_TB,2022,9,LA,TB,1.0,Punt,PUNT,1
2022_09_LA_TB,2022,9,TB,LA,2.0,Field goal,FG,0
2022_09_LV_JAX,2022,9,JAX,LV,2.0,Turnover,OTHER,0
2022_09_LV_JAX,2022,9,LV,JAX,1.0,Punt,PUNT,1
2022_09_MIA_CHI,2022,9,CHI,MIA,1.0,Field goal,FG,1
2022_09_MIA_CHI,2022,9,MIA,CHI,2.0,Touchdown,TD,0
2022_09_MIN_WAS,2022,9,MIN,WAS,1.0,Touchdown,TD,1
2022_09_MIN_WAS,2022,9,WAS,MIN,2.0,Punt,PUNT,0
2022_09_PHI_HOU,2022,9,HOU,PHI,1.0,Touchdown,TD,1
2022_09_PHI_HOU,2022,9,PHI,HOU,2.0,Touchdown,TD,0
2022_09_SEA_ARI,2022,9,ARI,SEA,2.0,Touchdown,TD,0
2022_09_SEA_ARI,2022,9,SEA,ARI,1.0,Field goal,FG,1
2022_09_TEN_KC,2022,9,KC,TEN,1.0,Field goal,FG,1
2022_09_TEN_KC,2022,9,TEN,KC,2.0,Punt,PUNT,0
2022_10_ARI_LA,2022,10,ARI,LA,2.0,Field goal,FG,0
2022_10_ARI_LA,2022,10,LA,ARI,1.0,Field goal,FG,1
2022_10_ATL_CAR,2022,10,ATL,CAR,1.0,Punt,PUNT,1
2022_10_ATL_CAR,2022,10,CAR,ATL,2.0,Field goal,FG,0
2022_10_CLE_MIA,2022,10,CLE,MIA,1.0,Touchdown,TD,1
2022_10_CLE_MIA,2022,10,MIA,CLE,2.0,Touchdown,TD,0
2022_10_DAL_GB,2022,10,DAL,GB,1.0,Punt,PUNT,1
2022_10_DAL_GB,2022,10,GB,DAL,2.0,Missed field goal,OTHER,0
2022_10_DEN_TEN,2022,10,DEN,TEN,2.0,Punt,PUNT,0
2022_10_DEN_TEN,2022,10,TEN,DEN,1.0,Punt,PUNT,1
2022_10_DET_CHI,2022,10,CHI,DET,1.0,Field goal,FG,1
2022_10_DET_CHI,2022,10,DET,CHI,2.0,Field goal,FG,0
2022_10_HOU_NYG,2022,10,HOU,NYG,1.0,Punt,PUNT,1
2022_10_HOU_NYG,2022,10,NYG,HOU,2.0,Touchdown,TD,0
2022_10_IND_LV,2022,10,IND,LV,2.0,Punt,PUNT,0
2022_10_IND_LV,2022,10,LV,IND,1.0,Punt,PUNT,1
2022_10_JAX_KC,2022,10,JAX,KC,2.0,Punt,PUNT,0
2022_10_JAX_KC,2022,10,KC,JAX,2.0,Punt,PUNT,0
2022_10_LAC_SF,2022,10,LAC,SF,1.0,Touchdown,TD,1
2022_10_LAC_SF,2022,10,SF,LAC,2.0,Field goal,FG,0
2022_10_MIN_BUF,2022,10,BUF,MIN,1.0,Punt,PUNT,1
2022_10_MIN_BUF,2022,10,MIN,BUF,2.0,Touchdown,TD,0
2022_10_NO_PIT,2022,10,NO,PIT,2.0,Punt,PUNT,0
2022_10_NO_PIT,2022,10,PIT,NO,1.0,Punt,PUNT,1
2022_10_SEA_TB,2022,10,SEA,TB,2.0,Punt,PUNT,0
2022_10_SEA_TB,2022,10,TB,SEA,1.0,Punt,PUNT,1
2022_10_WAS_PHI,2022,10,PHI,WAS,2.0,Touchdown,TD,0
2022_10_WAS_PHI,2022,10,WAS,PHI,1.0,Turnover,OTHER,1
2022_11_CAR_BAL,2022,11,BAL,CAR,1.0,Punt,PUNT,1
2022_11_CAR_BAL,2022,11,CAR,BAL,2.0,Punt,PUNT,0
2022_11_CHI_ATL,2022,11,ATL,CHI,1.0,Touchdown,TD,1
2022_11_CHI_ATL,2022,11,CHI,ATL,2.0,Touchdown,TD,0
2022_11_CIN_PIT,2022,11,CIN,PIT,1.0,Punt,PUNT,1
2022_11_CIN_PIT,2022,11,PIT,CIN,2.0,Punt,PUNT,0
2022_11_CLE_BUF,2022,11,BUF,CLE,2.0,Punt,PUNT,0
2022_11_CLE_BUF,2022,11,CLE,BUF,1.0,Touchdown,TD,1
2022_11_DAL_MIN,2022,11,DAL,MIN,2.0,Field goal,FG,0
2022_11_DAL_MIN,2022,11,MIN,DAL,1.0,Turnover,OTHER,1
2022_11_DET_NYG,2022,11,DET,NYG,2.0,Field goal,FG,0
2022_11_DET_NYG,2022,11,NYG,DET,1.0,Punt,PUNT,1
2022_11_KC_LAC,2022,11,KC,LAC,1.0,Field goal,FG,1
2022_11_KC_LAC,2022,11,LAC,KC,2.0,Touchdown,TD,0
2022_11_LA_NO,2022,11,LA,NO,1.0,Punt,PUNT,1
2022_11_LA_NO,2022,11,NO,LA,2.0,Punt,PUNT,0
2022_11_LV_DEN,2022,11,DEN,LV,2.0,Touchdown,TD,0
2022_11_LV_DEN,2022,11,LV,DEN,1.0,Punt,PUNT,1
2022_11_NYJ_NE,2022,11,NE,NYJ,1.0,Punt,PUNT,1
2022_11_NYJ_NE,2022,11,NYJ,NE,2.0,Punt,PUNT,0
2022_11_PHI_IND,2022,11,IND,PHI,1.0,Touchdown,TD,1
2022_11_PHI_IND,2022,11,PHI,IND,2.0,Punt,PUNT,0
2022_11_SF_ARI,2022,11,ARI,SF,1.0,Punt,PUNT,1
2022_11_SF_ARI,2022,11,SF,ARI,2.0,Punt,PUNT,0
2022_11_TEN_GB,2022,11,GB,TEN,2.0,Punt,PUNT,0
2022_11_TEN_GB,2022,11,TEN,GB,1.0,Touchdown,TD,1
2022_11_WAS_HOU,2022,11,HOU,WAS,2.0,Opp touchdown,OTHER,0
2022_11_WAS_HOU,2022,11,WAS,HOU,1.0,Punt,PUNT,1
2022_12_ATL_WAS,2022,12,ATL,WAS,1.0,Field goal,FG,1
2022_12_ATL_WAS,2022,12,WAS,ATL,2.0,Touchdown,TD,0
2022_12_BAL_JAX,2022,12,BAL,JAX,1.0,Field goal,FG,1
2022_12_BAL_JAX,2022,12,JAX,BAL,2.0,Turnover on downs,OTHER,0
2022_12_BUF_DET,2022,12,BUF,DET,2.0,Punt,PUNT,0
2022_12_BUF_DET,2022,12,DET,BUF,1.0,Punt,PUNT,1
2022_12_CHI_NYJ,2022,12,CHI,NYJ,2.0,Field goal,FG,0
2022_12_CHI_NYJ,2022,12,NYJ,CHI,1.0,Touchdown,TD,1
2022_12_CIN_TEN,2022,12,CIN,TEN,1.0,Punt,PUNT,1
2022_12_CIN_TEN,2022,12,TEN,CIN,2.0,Punt,PUNT,0
2022_12_DEN_CAR,2022,12,CAR,DEN,1.0,Punt,PUNT,1
2022_12_DEN_CAR,2022,12,DEN,CAR,2.0,Punt,PUNT,0
2022_12_GB_PHI,2022,12,GB,PHI,2.0,Turnover,OTHER,0
2022_12_GB_PHI,2022,12,PHI,GB,1.0,Touchdown,TD,1
2022_12_HOU_MIA,2022,12,HOU,MIA,1.0,Punt,PUNT,1
2022_12_HOU_MIA,2022,12,MIA,HOU,2.0,Field goal,FG,0
