game_id,season,week,game_date,home_team,away_team,home_coach,away_coach,roof,surface,temp,wind,spread_line,total_line
2022_01_BAL_NYJ,2022,1,2022-09-11,NYJ,BAL,Robert Saleh,John Harbaugh,outdoors,fieldturf,,,-6.5,44.0
2022_01_BUF_LA,2022,1,2022-09-08,LA,BUF,Sean McVay,Sean McDermott,dome,matrixturf,,,-1.0,51.5
2022_01_CLE_CAR,2022,1,2022-09-11,CAR,CLE,Matt Rhule,Kevin Stefanski,outdoors,grass,,,2.5,42.5
2022_01_DEN_SEA,2022,1,2022-09-12,SEA,DEN,Pete Carroll,Nathaniel Hackett,outdoors,fieldturf,,,-6.0,44.0
2022_01_GB_MIN,2022,1,2022-09-11,MIN,GB,Kevin O'Connell,Matt LaFleur,dome,sportturf,,,2.5,47.0
2022_01_IND_HOU,2022,1,2022-09-11,HOU,IND,Lovie Smith,Frank Reich,closed,astroturf,,,-7.0,46.0
2022_01_JAX_WAS,2022,1,2022-09-11,WAS,JAX,Ron Rivera,Doug Pederson,outdoors,grass,,,3.0,43.5
2022_01_KC_ARI,2022,1,2022-09-11,ARI,KC,Kliff Kingsbury,Andy Reid,closed,grass,,,-6.0,54.0
2022_01_LV_LAC,2022,1,2022-09-11,LAC,LV,Brandon Staley,Josh McDaniels,dome,matrixturf,,,3.5,52.5
2022_01_NE_MIA,2022,1,2022-09-11,MIA,NE,Mike McDaniel,Bill Belichick,outdoors,grass,,,3.0,47.0
2022_01_NO_ATL,2022,1,2022-09-11,ATL,NO,Arthur Smith,Dennis Allen,closed,fieldturf,,,-6.0,43.5
2022_01_NYG_TEN,2022,1,2022-09-11,TEN,NYG,Mike Vrabel,Brian Daboll,outdoors,grass,,,5.5,43.5
2022_01_PHI_DET,2022,1,2022-09-11,DET,PHI,Dan Campbell,Nick Sirianni,dome,fieldturf,,,-6.0,49.0
2022_01_PIT_CIN,2022,1,2022-09-11,CIN,PIT,Zac Taylor,Mike Tomlin,outdoors,fieldturf,,,7.5,44.5
2022_01_SF_CHI,2022,1,2022-09-11,CHI,SF,Matt Eberflus,Kyle Shanahan,outdoors,grass,,,-6.5,38.0
2022_01_TB_DAL,2022,1,2022-09-11,DAL,TB,Mike McCarthy,Todd Bowles,closed,matrixturf,,,-2.5,49.5
2022_02_ARI_LV,2022,2,2022-09-18,LV,ARI,Josh McDaniels,Kliff Kingsbury,dome,grass,,,5.5,51.5
2022_02_ATL_LA,2022,2,2022-09-18,LA,ATL,Sean McVay,Arthur Smith,dome,matrixturf,,,10.5,46.5
2022_02_CAR_NYG,2022,2,2022-09-18,NYG,CAR,Brian Daboll,Matt Rhule,outdoors,fieldturf,,,-1.0,44.0
2022_02_CHI_GB,2022,2,2022-09-18,GB,CHI,Matt LaFleur,Matt Eberflus,outdoors,grass,,,10.5,42.0
2022_02_CIN_DAL,2022,2,2022-09-18,DAL,CIN,Mike McCarthy,Zac Taylor,closed,matrixturf,,,-7.5,42.0
2022_02_HOU_DEN,2022,2,2022-09-18,DEN,HOU,Nathaniel Hackett,Lovie Smith,outdoors,grass,,,10.5,46.0
2022_02_IND_JAX,2022,2,2022-09-18,JAX,IND,Doug Pederson,Frank Reich,outdoors,grass,,,-3.0,43.5
2022_02_LAC_KC,2022,2,2022-09-15,KC,LAC,Andy Reid,Brandon Staley,outdoors,grass,,,4.0,52.5
2022_02_MIA_BAL,2022,2,2022-09-18,BAL,MIA,John Harbaugh,Mike McDaniel,outdoors,grass,,,3.0,44.0
2022_02_MIN_PHI,2022,2,2022-09-19,PHI,MIN,Nick Sirianni,Kevin O'Connell,outdoors,grass,,,2.5,49.5
2022_02_NE_PIT,2022,2,2022-09-18,PIT,NE,Mike Tomlin,Bill Belichick,outdoors,grass,,,-3.0,40.0
2022_02_NYJ_CLE,2022,2,2022-09-18,CLE,NYJ,Kevin Stefanski,Robert Saleh,outdoors,grass,,,6.5,38.5
2022_02_SEA_SF,2022,2,2022-09-18,SF,SEA,Kyle Shanahan,Pete Carroll,outdoors,grass,,,8.5,40.0
2022_02_TB_NO,2022,2,2022-09-18,NO,TB,Dennis Allen,Todd Bowles,dome,sportturf,,,-2.5,44.0
2022_02_TEN_BUF,2022,2,2022-09-19,BUF,TEN,Sean McDermott,Mike Vrabel,outdoors,a_turf,,,10.0,47.5
2022_02_WAS_DET,2022,2,2022-09-18,DET,WAS,Dan Campbell,Ron Rivera,dome,fieldturf,,,-1.0,48.5
2022_03_ATL_SEA,2022,3,2022-09-25,SEA,ATL,Pete Carroll,Arthur Smith,outdoors,fieldturf,,,1.0,43.0
2022_03_BAL_NE,2022,3,2022-09-25,NE,BAL,Bill Belichick,John Harbaugh,outdoors,fieldturf,,,-2.5,45.5
2022_03_BUF_MIA,2022,3,2022-09-25,MIA,BUF,Mike McDaniel,Sean McDermott,outdoors,grass,,,-4.0,54.0
2022_03_CIN_NYJ,2022,3,2022-09-25,NYJ,CIN,Robert Saleh,Zac Taylor,outdoors,fieldturf,,,-6.5,46.0
2022_03_DAL_NYG,2022,3,2022-09-26,NYG,DAL,Brian Daboll,Mike McCarthy,outdoors,fieldturf,,,1.0,38.5
2022_03_DET_MIN,2022,3,2022-09-25,MIN,DET,Kevin O'Connell,Dan Campbell,dome,sportturf,,,6.5,52.0
2022_03_GB_TB,2022,3,2022-09-25,TB,GB,Todd Bowles,Matt LaFleur,outdoors,grass,,,1.0,41.5
2022_03_HOU_CHI,2022,3,2022-09-25,CHI,HOU,Matt Eberflus,Lovie Smith,outdoors,grass,,,3.0,40.0
2022_03_JAX_LAC,2022,3,2022-09-25,LAC,JAX,Brandon Staley,Doug Pederson,dome,matrixturf,,,6.5,46.0
2022_03_KC_IND,2022,3,2022-09-25,IND,KC,Frank Reich,Andy Reid,open,fieldturf,,,-4.5,51.0
2022_03_LA_ARI,2022,3,2022-09-25,ARI,LA,Kliff Kingsbury,Sean McVay,closed,grass,,,-3.5,49.0
2022_03_LV_TEN,2022,3,2022-09-25,TEN,LV,Mike Vrabel,Josh McDaniels,outdoors,grass,,,-1.5,45.5
2022_03_NO_CAR,2022,3,2022-09-25,CAR,NO,Matt Rhule,Dennis Allen,outdoors,grass,,,-2.0,41.0
2022_03_PHI_WAS,2022,3,2022-09-25,WAS,PHI,Ron Rivera,Nick Sirianni,outdoors,grass,,,-6.0,47.0
