game_id,season,week,posteam,kicker_player_name,fg_made,fg_att,xp_made,xp_att,points,long_fg
2022_01_BAL_NYJ,2022,1,BAL,J.Tucker,1,1,3,3,6,24.0
2022_01_BAL_NYJ,2022,1,NYJ,G.Zuerlein,1,2,0,1,3,45.0
2022_01_BUF_LA,2022,1,BUF,T.Bass,1,1,4,4,7,41.0
2022_01_BUF_LA,2022,1,LA,M.Gay,1,1,1,1,4,57.0
2022_01_CLE_CAR,2022,1,CAR,E.Pineiro,1,1,3,3,6,34.0
2022_01_CLE_CAR,2022,1,CLE,C.York,4,4,2,2,14,58.0
2022_01_DEN_SEA,2022,1,DEN,B.McManus,3,4,1,1,10,40.0
2022_01_DEN_SEA,2022,1,SEA,J.Myers,1,1,2,2,5,49.0
2022_01_GB_MIN,2022,1,GB,M.Crosby,0,0,1,1,1,
2022_01_GB_MIN,2022,1,MIN,G.Joseph,3,3,2,2,11,56.0
2022_01_IND_HOU,2022,1,HOU,K.Fairbairn,2,2,2,2,8,45.0
2022_01_IND_HOU,2022,1,IND,R.Blankenship,2,3,2,2,8,45.0
2022_01_JAX_WAS,2022,1,JAX,R.Patterson,3,4,1,1,10,45.0
2022_01_JAX_WAS,2022,1,WAS,J.Slye,0,0,2,2,2,
2022_01_KC_ARI,2022,1,ARI,M.Prater,0,0,1,1,1,
2022_01_KC_ARI,2022,1,KC,H.Butker,1,1,4,4,7,54.0
2022_01_KC_ARI,2022,1,KC,J.Reid,0,0,1,2,1,
2022_01_LV_LAC,2022,1,LAC,D.Hopkins,1,2,3,3,6,43.0
2022_01_LV_LAC,2022,1,LV,D.Carlson,2,2,1,1,7,55.0
2022_01_NE_MIA,2022,1,MIA,J.Sanders,2,2,2,2,8,49.0
2022_01_NE_MIA,2022,1,NE,N.Folk,0,0,1,1,1,
2022_01_NO_ATL,2022,1,ATL,Y.Koo,4,5,2,2,14,54.0
2022_01_NO_ATL,2022,1,NO,W.Lutz,2,3,1,1,7,51.0
2022_01_NYG_TEN,2022,1,NYG,G.Gano,0,0,1,1,1,
2022_01_NYG_TEN,2022,1,TEN,R.Bullock,2,3,2,2,8,46.0
2022_01_PHI_DET,2022,1,DET,A.Seibert,0,0,5,5,5,
2022_01_PHI_DET,2022,1,PHI,J.Elliott,1,1,5,5,8,23.0
2022_01_PIT_CIN,2022,1,CIN,E.McPherson,2,3,0,1,6,59.0
2022_01_PIT_CIN,2022,1,PIT,C.Boswell,3,4,2,2,11,53.0
2022_01_SF_CHI,2022,1,CHI,C.Santos,0,0,1,3,1,
2022_01_SF_CHI,2022,1,SF,R.Gould,1,1,1,1,4,25.0
2022_01_TB_DAL,2022,1,DAL,B.Maher,1,1,0,0,3,51.0
2022_01_TB_DAL,2022,1,TB,R.Succop,4,5,1,1,13,47.0
2022_02_ARI_LV,2022,2,ARI,M.Prater,0,0,1,1,1,
2022_02_ARI_LV,2022,2,LV,D.Carlson,3,3,2,2,11,55.0
2022_02_ATL_LA,2022,2,ATL,Y.Koo,1,2,2,2,5,26.0
2022_02_ATL_LA,2022,2,LA,M.Gay,1,1,4,4,7,20.0
2022_02_CAR_NYG,2022,2,CAR,E.Pineiro,3,3,1,1,10,38.0
2022_02_CAR_NYG,2022,2,NYG,G.Gano,4,4,1,1,13,56.0
2022_02_CHI_GB,2022,2,CHI,C.Santos,1,1,1,1,4,44.0
2022_02_CHI_GB,2022,2,GB,M.Crosby,2,2,3,3,9,40.0
2022_02_CIN_DAL,2022,2,CIN,E.McPherson,3,3,0,0,9,50.0
2022_02_CIN_DAL,2022,2,DAL,B.Maher,2,2,2,2,8,54.0
2022_02_HOU_DEN,2022,2,DEN,B.McManus,3,3,1,1,10,50.0
2022_02_HOU_DEN,2022,2,HOU,K.Fairbairn,3,3,0,0,9,44.0
2022_02_IND_JAX,2022,2,JAX,R.Patterson,1,1,3,3,6,52.0
2022_02_LAC_KC,2022,2,KC,M.Ammendola,2,2,3,3,9,31.0
2022_02_LAC_KC,2022,2,LAC,D.Hopkins,1,1,3,3,6,31.0
2022_02_MIA_BAL,2022,2,BAL,J.Tucker,1,1,5,5,8,51.0
2022_02_MIA_BAL,2022,2,MIA,J.Sanders,0,0,6,6,6,
2022_02_MIN_PHI,2022,2,MIN,G.Joseph,0,0,1,1,1,
2022_02_MIN_PHI,2022,2,PHI,J.Elliott,1,2,3,3,6,38.0
2022_02_NE_PIT,2022,2,NE,N.Folk,1,2,2,2,5,28.0
2022_02_NE_PIT,2022,2,PIT,C.Boswell,2,2,0,0,6,52.0
2022_02_NYJ_CLE,2022,2,CLE,C.York,1,1,3,4,6,22.0
2022_02_NYJ_CLE,2022,2,NYJ,G.Zuerlein,1,1,4,4,7,57.0
2022_02_SEA_SF,2022,2,SEA,J.Myers,0,0,1,1,1,
2022_02_SEA_SF,2022,2,SF,R.Gould,2,3,3,3,9,33.0
2022_02_TB_NO,2022,2,NO,W.Lutz,1,1,1,1,4,31.0
2022_02_TB_NO,2022,2,TB,R.Succop,2,2,2,2,8,47.0
2022_02_TEN_BUF,2022,2,BUF,T.Bass,2,2,5,5,11,49.0
2022_02_TEN_BUF,2022,2,TEN,R.Bullock,0,0,1,1,1,
2022_02_WAS_DET,2022,2,DET,A.Seibert,2,2,4,4,10,48.0
2022_02_WAS_DET,2022,2,WAS,J.Slye,0,0,1,2,1,
2022_03_ATL_SEA,2022,3,ATL,Y.Koo,2,2,3,3,9,54.0
2022_03_ATL_SEA,2022,3,SEA,J.Myers,3,3,2,2,11,32.0
2022_03_BAL_NE,2022,3,BAL,J.Tucker,1,1,4,5,7,56.0
2022_03_BAL_NE,2022,3,NE,N.Folk,2,2,2,2,8,50.0
2022_03_BUF_MIA,2022,3,BUF,T.Bass,1,2,2,2,5,30.0
2022_03_BUF_MIA,2022,3,MIA,J.Sanders,0,0,3,3,3,
2022_03_CIN_NYJ,2022,3,CIN,E.McPherson,2,3,3,3,9,43.0
2022_03_CIN_NYJ,2022,3,NYJ,G.Zuerlein,4,4,0,0,12,52.0
2022_03_DAL_NYG,2022,3,DAL,B.Maher,3,4,2,2,11,44.0
2022_03_DAL_NYG,2022,3,NYG,G.Gano,3,4,1,1,10,51.0
