season,team,playcaller,role,hc_2026,confidence,notes
2022,ARI,Kliff Kingsbury,HC,,high,
2022,ATL,Arthur Smith,HC,,high,
2022,BAL,Greg Roman,OC,,high,
2022,BUF,Ken Dorsey,OC,,high,
2022,CAR,Ben McAdoo,OC,,low,Rhule fired midseason; interim chaos
2022,CHI,Luke Getsy,OC,,high,
2022,CIN,Zac Taylor,HC,,high,
2022,CLE,Kevin Stefanski,HC,,high,
2022,DAL,Kellen Moore,OC,,high,
2022,DEN,Nathaniel Hackett,HC,,med,fired late season
2022,DET,Ben Johnson,OC,,high,
2022,GB,Matt LaFleur,HC,,high,
2022,HOU,Pep Hamilton,OC,,med,
2022,IND,Frank Reich,HC,,med,fired midseason; Saturday interim
2022,JAX,Doug Pederson,HC,,med,
2022,KC,Andy Reid,HC,,high,
2022,LA,Sean McVay,HC,,high,
2022,LAC,Joe Lombardi,OC,,high,
2022,LV,Josh McDaniels,HC,,high,
2022,MIA,Mike McDaniel,HC,,high,
2022,MIN,Kevin O'Connell,HC,,high,
2022,NE,Matt Patricia,OC,,med,de facto playcaller that year
2022,NO,Pete Carmichael,OC,,high,
2022,NYG,Mike Kafka,OC,,med,
2022,NYJ,Mike LaFleur,OC,,high,
2022,PHI,Shane Steichen,OC,,med,
2022,PIT,Matt Canada,OC,,high,
2022,SEA,Shane Waldron,OC,,high,
2022,SF,Kyle Shanahan,HC,,high,
2022,TB,Byron Leftwich,OC,,high,
2022,TEN,Todd Downing,OC,,high,
2022,WAS,Scott Turner,OC,,high,
2023,ARI,Drew Petzing,OC,,high,
2023,ATL,Arthur Smith,HC,,high,
2023,BAL,Todd Monken,OC,,high,
2023,BUF,Ken Dorsey,OC,,med,fired midseason; Brady took over
2023,CAR,Thomas Brown,OC,,low,Reich fired; multiple playcaller flips
2023,CHI,Luke Getsy,OC,,high,
2023,CIN,Zac Taylor,HC,,high,
2023,CLE,Kevin Stefanski,HC,,high,
2023,DAL,Mike McCarthy,HC,,high,took play-calling in 2023
2023,DEN,Sean Payton,HC,,high,
2023,DET,Ben Johnson,OC,,high,
2023,GB,Matt LaFleur,HC,,high,
2023,HOU,Bobby Slowik,OC,,high,
2023,IND,Shane Steichen,HC,,high,
2023,JAX,Press Taylor,OC,,med,
2023,KC,Andy Reid,HC,,high,
2023,LA,Sean McVay,HC,,high,
2023,LAC,Kellen Moore,OC,,high,
2023,LV,Mick Lombardi,OC,,low,McDaniels fired; interim playcallers
2023,MIA,Mike McDaniel,HC,,high,
2023,MIN,Kevin O'Connell,HC,,high,
2023,NE,Bill O'Brien,OC,,high,
2023,NO,Pete Carmichael,OC,,high,
2023,NYG,Mike Kafka,OC,,med,
2023,NYJ,Nathaniel Hackett,OC,,high,
2023,PHI,Brian Johnson,OC,,high,
2023,PIT,Matt Canada,OC,,med,fired midseason
2023,SEA,Shane Waldron,OC,,high,
2023,SF,Kyle Shanahan,HC,,high,
2023,TB,Dave Canales,OC,,high,
2023,TEN,Tim Kelly,OC,,med,
2023,WAS,Eric Bieniemy,OC,,high,
2024,ARI,Drew Petzing,OC,,high,
2024,ATL,Zac Robinson,OC,,high,
2024,BAL,Todd Monken,OC,,high,
2024,BUF,Joe Brady,OC,,high,
2024,CAR,Dave Canales,HC,,high,
2024,CHI,Shane Waldron,OC,,med,fired midseason; Thomas Brown finished
2024,CIN,Zac Taylor,HC,,high,
2024,CLE,Ken Dorsey,OC,,med,Stefanski ceded play-calling midseason
2024,DAL,Mike McCarthy,HC,,high,
2024,DEN,Sean Payton,HC,,high,
2024,DET,Ben Johnson,OC,,high,
2024,GB,Matt LaFleur,HC,,high,
2024,HOU,Bobby Slowik,OC,,high,
2024,IND,Shane Steichen,HC,,high,
2024,JAX,Press Taylor,OC,,med,
2024,KC,Andy Reid,HC,,high,
2024,LA,Sean McVay,HC,,high,
2024,LAC,Greg Roman,OC,,high,
2024,LV,Luke Getsy,OC,,med,fired midseason; Scott Turner finished
2024,MIA,Mike McDaniel,HC,,high,
2024,MIN,Kevin O'Connell,HC,,high,
2024,NE,Alex Van Pelt,OC,,high,
2024,NO,Klint Kubiak,OC,,high,
2024,NYG,Brian Daboll,HC,,med,took play-calling from Kafka
2024,NYJ,Nathaniel Hackett,OC,,med,demoted midseason; Downing finished
2024,PHI,Kellen Moore,OC,,high,
2024,PIT,Arthur Smith,OC,,high,
2024,SEA,Ryan Grubb,OC,,high,
2024,SF,Kyle Shanahan,HC,,high,
2024,TB,Liam Coen,OC,,high,
2024,TEN,Brian Callahan,HC,,high,
2024,WAS,Kliff Kingsbury,OC,,high,
2025,ARI,Drew Petzing,OC,,high,
2025,ATL,Zac Robinson,OC,,high,
2025,BAL,Todd Monken,OC,,high,
2025,BUF,Joe Brady,OC,,high,
2025,CAR,Dave Canales,HC,,high,
2025,CHI,Ben Johnson,HC,,high,
2025,CIN,Zac Taylor,HC,,high,
2025,CLE,Tommy Rees,OC,,med,
2025,DAL,Brian Schottenheimer,HC,,high,
2025,DEN,Sean Payton,HC,,high,
