game_id,season,week,posteam,defteam,punts,game_total_punts
2022_01_BAL_NYJ,2022,1,BAL,NYJ,6,12
2022_01_BAL_NYJ,2022,1,NYJ,BAL,6,12
2022_01_BUF_LA,2022,1,BUF,LA,0,4
2022_01_BUF_LA,2022,1,LA,BUF,4,4
2022_01_CLE_CAR,2022,1,CAR,CLE,5,9
2022_01_CLE_CAR,2022,1,CLE,CAR,4,9
2022_01_DEN_SEA,2022,1,DEN,SEA,1,3
2022_01_DEN_SEA,2022,1,SEA,DEN,2,3
2022_01_GB_MIN,2022,1,GB,MIN,4,9
2022_01_GB_MIN,2022,1,MIN,GB,5,9
2022_01_IND_HOU,2022,1,HOU,IND,7,11
2022_01_IND_HOU,2022,1,IND,HOU,4,11
2022_01_JAX_WAS,2022,1,JAX,WAS,3,6
2022_01_JAX_WAS,2022,1,WAS,JAX,3,6
2022_01_KC_ARI,2022,1,ARI,KC,5,7
2022_01_KC_ARI,2022,1,KC,ARI,2,7
2022_01_LV_LAC,2022,1,LAC,LV,4,6
2022_01_LV_LAC,2022,1,LV,LAC,2,6
2022_01_NE_MIA,2022,1,MIA,NE,4,7
2022_01_NE_MIA,2022,1,NE,MIA,3,7
2022_01_NO_ATL,2022,1,ATL,NO,4,9
2022_01_NO_ATL,2022,1,NO,ATL,5,9
2022_01_NYG_TEN,2022,1,NYG,TEN,6,12
2022_01_NYG_TEN,2022,1,TEN,NYG,6,12
2022_01_PHI_DET,2022,1,DET,PHI,4,7
2022_01_PHI_DET,2022,1,PHI,DET,3,7
2022_01_PIT_CIN,2022,1,CIN,PIT,3,11
2022_01_PIT_CIN,2022,1,PIT,CIN,8,11
2022_01_SF_CHI,2022,1,CHI,SF,6,10
2022_01_SF_CHI,2022,1,SF,CHI,4,10
2022_01_TB_DAL,2022,1,DAL,TB,5,8
2022_01_TB_DAL,2022,1,TB,DAL,3,8
2022_02_ARI_LV,2022,2,ARI,LV,3,6
2022_02_ARI_LV,2022,2,LV,ARI,3,6
2022_02_ATL_LA,2022,2,ATL,LA,1,2
2022_02_ATL_LA,2022,2,LA,ATL,1,2
2022_02_CAR_NYG,2022,2,CAR,NYG,5,10
2022_02_CAR_NYG,2022,2,NYG,CAR,5,10
2022_02_CHI_GB,2022,2,CHI,GB,4,6
2022_02_CHI_GB,2022,2,GB,CHI,2,6
2022_02_CIN_DAL,2022,2,CIN,DAL,5,10
2022_02_CIN_DAL,2022,2,DAL,CIN,5,10
2022_02_HOU_DEN,2022,2,DEN,HOU,5,10
2022_02_HOU_DEN,2022,2,HOU,DEN,5,10
2022_02_IND_JAX,2022,2,IND,JAX,5,10
2022_02_IND_JAX,2022,2,JAX,IND,5,10
2022_02_LAC_KC,2022,2,KC,LAC,6,12
